condition,family,model,measure,n_compounds,rho,p_value,ci_low,ci_high
natural,pythia,pythia-1b,max_relative,49,-0.4525510204081632,0.0010953900300557102,-0.6398057434713857,-0.20930423187630603
natural,pythia,pythia-1b,p95_relative,49,-0.45091836734693874,0.0011476724639385078,-0.6335321764152883,-0.20519356309639478
natural,pythia,pythia-1b,mean_top5_relative,49,-0.4610204081632653,0.000856857327192503,-0.6375773181781865,-0.20432690393604186
natural,pythia,pythia-2.8b,max_attention,49,-0.47551020408163264,0.0005545827247660028,-0.674484707677913,-0.1989431515029282
natural,pythia,pythia-2.8b,max_weighted,49,-0.3257142857142857,0.022382572649502438,-0.5493566990345841,-0.04609923503991168
natural,pythia,pythia-2.8b,max_relative,49,-0.3413265306122449,0.01638716740999542,-0.5578450806761479,-0.07707341014178408
natural,pythia,pythia-2.8b,p95_relative,49,-0.48510204081632646,0.0004113742632292052,-0.6814888650358981,-0.23077512450382076
natural,pythia,pythia-2.8b,mean_top5_relative,49,-0.4727551020408163,0.0006033014109644558,-0.6960023960609809,-0.20326157519380564
natural,pythia,pythia-410m,max_attention,49,-0.4170668701028892,0.002870685084162432,-0.6443472747968183,-0.12889045386965178
natural,pythia,pythia-410m,max_weighted,49,-0.39,0.005603046175667741,-0.595814137976057,-0.13837058614506986
natural,pythia,pythia-410m,max_relative,49,-0.42,0.002661140356936261,-0.5828507578352662,-0.19692897091019118
natural,pythia,pythia-410m,p95_relative,49,-0.420204081632653,0.002647077167929858,-0.6472760417361758,-0.13661599541868888
natural,pythia,pythia-410m,mean_top5_relative,49,-0.5123469387755102,0.00016760049081446606,-0.681488324386546,-0.28152980240691744
natural,pythia,pythia-6.9b,max_attention,49,-0.3605102040816326,0.010939393022634334,-0.5575516283671792,-0.1291593194771127
natural,pythia,pythia-6.9b,max_weighted,49,-0.053775510204081625,0.7136364038580778,-0.3510251284624336,0.22490298023395178
natural,pythia,pythia-6.9b,max_relative,49,0.023979591836734693,0.8700875365406151,-0.2602593248447765,0.2956377538893247
natural,pythia,pythia-6.9b,p95_relative,49,-0.4504081632653061,0.001164462201636432,-0.659762366689703,-0.18412992102726145
natural,pythia,pythia-6.9b,mean_top5_relative,49,-0.3593877551020408,0.011208508876214034,-0.5583773676548052,-0.13346852436215229
